Date,Open,High,Low,Close,Volume,Day,Week,Weekday
1993-01-29,25.23616926293624,25.23616926293624,25.11061618202611,25.218233108520508,1003200,29,4,4
1993-02-01,25.236165272987495,25.39759063720703,25.236165272987495,25.39759063720703,480500,1,5,0
1993-02-02,25.379652341878945,25.469333092203605,25.325843891684148,25.451396942138672,201300,2,5,1
1993-02-03,25.487262393307653,25.738368426739257,25.46932624806254,25.72043228149414,529400,3,5,2
1993-02-04,25.810112561119926,25.881857140858965,25.523134242163763,25.828048706054688,531500,4,5,3
1993-02-05,25.810129165649414,25.863937635070506,25.666639913859843,25.810129165649414,492100,5,5,4
1993-02-08,25.810129165649414,25.899809948017896,25.77425685270202,25.810129165649414,596100,8,6,0
1993-02-09,25.720431379207454,25.720431379207454,25.576942222280216,25.63075065612793,122100,9,6,1
1993-02-10,25.630755587777088,25.68456403197816,25.55901099550899,25.666627883911133,379600,10,6,2
1993-02-11,25.702498373633794,25.899795988504675,25.702498373633794,25.792179107666016,19500,11,6,3
1993-02-12,25.756323650656835,25.756323650656835,25.594898223876953,25.594898223876953,42500,12,6,4
1993-02-16,25.523131456244858,25.523131456244858,24.91330259502748,24.949174880981445,374800,16,7,1
1993-02-17,24.949187678055797,24.98505998240958,24.84157076499445,24.931251525878906,210900,17,7,2
1993-02-18,25.218231330250905,25.218231330250905,24.572529816816314,24.91331672668457,378100,18,7,3
1993-02-19,24.913300478646537,25.002981185913086,24.87742819573992,25.002981185913086,34900,19,7,4
1993-02-22,25.0747342931108,25.12854273579988,25.002989702858695,25.092670440673828,513600,22,8,0
1993-02-23,25.16441446994678,25.182350617109964,24.949180703988574,25.07473373413086,373700,23,8,1
1993-02-24,25.092676060347905,25.39759063720703,25.092676060347905,25.39759063720703,26300,24,8,2
1993-02-25,25.379652341878945,25.469333092203605,25.325843891684148,25.451396942138672,44500,25,8,3
1993-02-26,25.505219866908995,25.505219866908995,25.36173058495733,25.48728370666504,66200,26,8,4
1993-03-01,25.57693927525296,25.57693927525296,25.37964170721104,25.41551399230957,66500,1,9,0
1993-03-02,25.43345617153714,25.792179107666016,25.39758387792425,25.792179107666016,182400,2,9,1
1993-03-03,25.828041435939124,25.917722135369466,25.792169156166985,25.8997859954834,280100,3,9,2
1993-03-04,25.935663313586733,25.935663313586733,25.756301879882812,25.756301879882812,89500,4,9,3
1993-03-05,25.792177650515594,25.899794525274352,25.66662462996371,25.684560775756836,40000,5,9,4
1993-03-08,25.738366236452197,26.258514404296875,25.738366236452197,26.258514404296875,50800,8,10,0
1993-03-09,26.204706975088452,26.222643119493032,26.11502625306556,26.168834686279297,169300,9,10,1
1993-03-10,26.168838272668758,26.222646713256836,26.0612213914926,26.222646713256836,194400,10,10,2
1993-03-11,26.240576785941837,26.31232135678515,26.115023786966038,26.150896072387695,70900,11,10,3
